ID,Posted at,Screen name,Text
547734452047470592,2014-12-24 12:44:04 +0000,bomberos,SERVICIO ESPECIAL Dinoe Ate
547732947793879041,2014-12-24 12:38:05 +0000,bomberos,EMERGENCIA MEDICA Av. Saenz Pea (pasco) 300 Barranco AMB-6
547732947491885057,2014-12-24 12:38:05 +0000,bomberos,EMERGENCIA MEDICA Cl. Los Amancaes Urb. Jardines Viru 279 Bellavista AMB-7
547730927691247616,2014-12-24 12:30:04 +0000,bomberos,EMERGENCIA MEDICA Av. Saenz Pea (pasco) 200
547729414625435648,2014-12-24 12:24:03 +0000,bomberos,"ACCIDENTE VEHICULAR Av. Coronel Nestor Gambeta (el Emisor) 000 Callao M5-5,MED-9,RES-15"
547729414113742848,2014-12-24 12:24:03 +0000,bomberos,EMERGENCIA MEDICA Av. Pachacutec (los Heroes) 500 San Juan De Miraflores SAMU-120
547729413539106816,2014-12-24 12:24:03 +0000,bomberos,EMERGENCIA MEDICA Av. Franklin D. Roosevelt (surco) 500 Santiago De Surco AMB-13
547721861925445633,2014-12-24 11:54:02 +0000,bomberos,EMERGENCIA MEDICA Cl. Leonardo Barbieri (junin) 1163 Surquillo AMB-11
547721611387076608,2014-12-24 11:53:02 +0000,bomberos,INCENDIO Jr. Cruz Del Sur 113 Santiago De Surco M127-1
547717835104206849,2014-12-24 11:38:02 +0000,bomberos,EMERGENCIA MEDICA As. Jardines De Shangrila K1 Puente Piedra AMB-184
547717588693037057,2014-12-24 11:37:03 +0000,bomberos,EMERGENCIA MEDICA Cl. Manuel Odria Cruce Con Cl. Samanez Ocampo Este Carabayllo Carabayllo AMB-150
547715321965322240,2014-12-24 11:28:03 +0000,bomberos,EMERGENCIA MEDICA Av. Y (a) 000 Villa El Salvador AMB-155
547713310612004865,2014-12-24 11:20:03 +0000,bomberos,EMERGENCIA MEDICA Jr. Ricardo Palma Cruce Con Jr. Puquio Comas Comas AMB-124
547710542971142144,2014-12-24 11:09:04 +0000,bomberos,EMERGENCIA MEDICA Cl. 13 De Agosto 125 Chorrillos AMB-6
547708279296901120,2014-12-24 11:00:04 +0000,bomberos,EMERGENCIA MEDICA Jr. Las Amatistas 349 La Victoria AMB-8
547703997071884288,2014-12-24 10:43:03 +0000,bomberos,EMERGENCIA MEDICA Jr. Francisco Lazo 1742 Lince
547703745057144833,2014-12-24 10:42:03 +0000,bomberos,EMERGENCIA MEDICA Av. Los Proceres 500 Santiago De Surco AMB-120
547700221070045184,2014-12-24 10:28:03 +0000,bomberos,"ACCIDENTE VEHICULAR Tupac Amaru Km 12 000 Comas M164-1,AMB-124,M168-3"
547697203364777985,2014-12-24 10:16:03 +0000,bomberos,EMERGENCIA MEDICA Cl. Ignacio Seminario 700 San Juan De Miraflores SAMU-120
547691414889721856,2014-12-24 09:53:03 +0000,bomberos,EMERGENCIA MEDICA Uv. Matute Block 43 C13 La Victoria AMB-8
547690657981431808,2014-12-24 09:50:03 +0000,bomberos,EMERGENCIA MEDICA Ps. Parodi 387 San Isidro SAMU-4
547689651491069952,2014-12-24 09:46:03 +0000,bomberos,EMERGENCIA MEDICA Ur. Tarapaca Callao AMB-7
547683864693719040,2014-12-24 09:23:03 +0000,bomberos,EMERGENCIA MEDICA Jr. Colon 941 Callao MED-18
547682107049652225,2014-12-24 09:16:04 +0000,bomberos,EMERGENCIA MEDICA Cl. Ludwig Van Beethoven 229 San Borja
547680343558729728,2014-12-24 09:09:03 +0000,bomberos,EMERGENCIA MEDICA Al. Sur 217 Chorrillos MED-16
547677577037750272,2014-12-24 08:58:04 +0000,bomberos,EMERGENCIA MEDICA Av. Defensores Del Morro (huaylas) 1661 Chorrillos AMB-13
547674554454532096,2014-12-24 08:46:03 +0000,bomberos,EMERGENCIA MEDICA Av. Guardia Civil (antonio Vargas) (condores) 951 Chorrillos AMB-6
547672790103769088,2014-12-24 08:39:03 +0000,bomberos,EMERGENCIA MEDICA Av. San Cristobal Segunda Cruz 100 AMB-2
547671027103576066,2014-12-24 08:32:02 +0000,bomberos,"INCENDIO Av. Vicente Morales Duarez 2500 Lima M65-1,AMB-14,M60-1,M3-2"
547669519779758080,2014-12-24 08:26:03 +0000,bomberos,EMERGENCIA MEDICA Calle 1 Mz A Lt 25 000 Independencia SAMU-10
547669014378733568,2014-12-24 08:24:02 +0000,bomberos,EMERGENCIA MEDICA Cl. Nevado Chachani 134 San Miguel AMB-60
547668767795589120,2014-12-24 08:23:04 +0000,bomberos,"ACCIDENTE VEHICULAR Av. El Centenario Sector El Nazareno Pamplona Alta 20 San Juan De Miraflores M120-1,SAMU-120,RES-120"
547668260007993344,2014-12-24 08:21:03 +0000,bomberos,EMERGENCIA MEDICA Av. Gregorio Escobedo (ortiz De Zevallos) 700 Jesus Maria
547666001333329920,2014-12-24 08:12:04 +0000,bomberos,EMERGENCIA MEDICA Cl. Los Castaos Ur Angelica Gamarra I Etapa 1299 Los Olivos AMB-124
547664234017206272,2014-12-24 08:05:03 +0000,bomberos,EMERGENCIA MEDICA Ricardo Palma 607 Puente Piedra AMB-150
547656938151243777,2014-12-24 07:36:03 +0000,bomberos,EMERGENCIA MEDICA Cl. Antonio Razuri 100 Comas AMB-65
547656687055032320,2014-12-24 07:35:03 +0000,bomberos,EMERGENCIA MEDICA Cl. Francisco Bolognesi 849 Bellavista MED-18
547655931304374272,2014-12-24 07:32:03 +0000,bomberos,INCENDIO Av. Tupac Amaru Cruce Con Av. Del Maestro Peruano Comas Comas M124-1
547646367754358784,2014-12-24 06:54:03 +0000,bomberos,EMERGENCIA MEDICA Ps. Parodi 387 San Isidro AMB-4
547645358177009665,2014-12-24 06:50:02 +0000,bomberos,EMERGENCIA MEDICA Cl. 28 De Julio Chancay AMB-80
547639069468278784,2014-12-24 06:25:03 +0000,bomberos,ACCIDENTE VEHICULAR San Martin Ica AMB171-2
547637557866283008,2014-12-24 06:19:03 +0000,bomberos,ACCIDENTE VEHICULAR Panamericana Sur Km 104 Asia M133-1
547637056089112578,2014-12-24 06:17:03 +0000,bomberos,EMERGENCIA MEDICA Salvadora Callao N 9 Callao MED-9
547630009222197248,2014-12-24 05:49:03 +0000,bomberos,"MATERIALES PELIGROSOS (INCIDENTE) Av. Las Magnolias Cruce Con Cl. San Jose (maria Parado De Bellido) El Agustino El Agustino M2-1,SAMU-10"
547627996371484674,2014-12-24 05:41:03 +0000,bomberos,EMERGENCIA MEDICA Cl. Los Vinzos (miami) 196 La Perla MED-18
547627740829351937,2014-12-24 05:40:02 +0000,bomberos,EMERGENCIA MEDICA Cl. Las Grosellas (los Nardos) (28) 400 San Juan De Lurigancho AMB-2
547627238490144768,2014-12-24 05:38:02 +0000,bomberos,"MATERIALES PELIGROSOS (INCIDENTE) Jr. Jose Maria Quiroga 213 Lima M65-1,AMB-14"
547626988077584385,2014-12-24 05:37:03 +0000,bomberos,EMERGENCIA MEDICA Av. Paseo De La Republica 000 Miraflores AMB-28
547626987528126464,2014-12-24 05:37:02 +0000,bomberos,EMERGENCIA MEDICA Jr. Combate De Angamos (arica) (1) 548 Santiago De Surco MED-16
547626230288506880,2014-12-24 05:34:02 +0000,bomberos,EMERGENCIA MEDICA Coronel Portillo Huara Huacho AMB-20
547625228143435776,2014-12-24 05:30:03 +0000,bomberos,EMERGENCIA MEDICA Av. 28 De Julio Cruce Con Av. Paseo De La Republica La Victoria La Victoria SAMU-10
547625227505909760,2014-12-24 05:30:03 +0000,bomberos,MATERIALES PELIGROSOS (INCIDENTE) Av. 7 Alt Grifo Faning Ica CIST-VI
547624721941266432,2014-12-24 05:28:02 +0000,bomberos,ACCIDENTE VEHICULAR Jr. Callao Huaral AMB-44
547622205467938816,2014-12-24 05:18:02 +0000,bomberos,EMERGENCIA MEDICA Av. Angamos Este (primavera) 311 Santiago De Surco AMB-11
547620692880277504,2014-12-24 05:12:02 +0000,bomberos,EMERGENCIA MEDICA Ur. Santa Rosa De Surco Iv Etapa Mz F Lt 9 000 Santiago De Surco AMB-13
547620444711702532,2014-12-24 05:11:02 +0000,bomberos,EMERGENCIA MEDICA Leoncio Prado Mz G10 Lt 28 SAMU-120
547620444212584448,2014-12-24 05:11:02 +0000,bomberos,EMERGENCIA MEDICA Los Licenciados Mz L Ventanilla AMB-75
547620192101359616,2014-12-24 05:10:02 +0000,bomberos,EMERGENCIA MEDICA Cl. Alcatraz Chancay AMB-80
547617702916141057,2014-12-24 05:00:09 +0000,bomberos,ACCIDENTE VEHICULAR San Martin 1400 AMB-171
547616702595616768,2014-12-24 04:56:10 +0000,bomberos,EMERGENCIA MEDICA Cl. Carlos Egusquiza Ames 132 San Luis SAMU-127
547616702201352192,2014-12-24 04:56:10 +0000,bomberos,SERVICIO ESPECIAL Av. Sucre Cruce Con Av. Domingo Nieto (san Jose) Pueblo Libre M36-1
547614178425708544,2014-12-24 04:46:08 +0000,bomberos,EMERGENCIA MEDICA Av. Metropolitana (separadora Industrial) 000 Ate AMB-169
547612162953592834,2014-12-24 04:38:08 +0000,bomberos,EMERGENCIA MEDICA Av. Tomas Valle Cruce Con Av. Elmer Faucett Callao Callao AMB-7
547611673230848002,2014-12-24 04:36:11 +0000,bomberos,EMERGENCIA MEDICA Cl. Blondel 122 Chorrillos AMB-6
547610647610286080,2014-12-24 04:32:07 +0000,bomberos,ACCIDENTE VEHICULAR Chanchajalla La Tinguina
547609654633979904,2014-12-24 04:28:10 +0000,bomberos,MATERIALES PELIGROSOS (INCIDENTE) San Miguel Pisco M37-4
